strain	virus	date	country	continent	division	location	host_type	length	authors	source	lineage	lineage_truncated
PV454520.1	Influenza B virus	2021-08-12	Kenya	Africa			Homo sapiens	1876	Oguzie,J.U.	ncbi	A.3.3	A.3
OR240885.1	Influenza B virus	2021-12-21	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
PV454533.1	Influenza B virus	2021-07-14	Kenya	Africa			Homo sapiens	1876	Oguzie,J.U.	ncbi	A.3.3	A.3
OR240904.1	Influenza B virus	2021-12-20	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
OR240895.1	Influenza B virus	2021-12-16	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
OR240896.1	Influenza B virus	2021-12-16	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
OR240897.1	Influenza B virus	2021-12-16	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
OR240898.1	Influenza B virus	2021-12-16	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
OR240905.1	Influenza B virus	2021-12-15	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
OR240899.1	Influenza B virus	2021-12-14	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
OR240900.1	Influenza B virus	2021-12-08	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
OR240906.1	Influenza B virus	2021-12-08	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
PQ895799.1	Influenza B virus	2021-10-22	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	A.3.1	A.3
PQ895800.1	Influenza B virus	2021-10-22	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	A.3	A.3
PQ895801.1	Influenza B virus	2021-10-26	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	A.3.1	A.3
PQ895802.1	Influenza B virus	2021-10-22	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	A.3	A.3
PQ895803.1	Influenza B virus	2021-10-30	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	A.3	A.3
OZ172272.1	Influenza B virus	2021-11-24	Switzerland	Europe			Homo sapiens	1749		ncbi	C.5	C.5
OZ172376.1	Influenza B virus	2021-11-29	Switzerland	Europe			Homo sapiens	1749		ncbi	C.5	C.5
OP985035.1	Influenza B virus	2022-03-01	China	Asia			Homo sapiens	1847	Chen,H., Lin,Q., Wu,J., Yan,Y., Zhang,Y., Wang,D., Weng,Y.	ncbi	C.1	C.1
OP999338.1	Influenza B virus	2022-02-20	China	Asia			Homo sapiens	1847	Chen,H.	ncbi	C.1	C.1
OP999337.1	Influenza B virus	2022-01-04	China	Asia			Homo sapiens	1847	Chen,H.	ncbi	C.1	C.1
PQ855849.1	Influenza B virus	2022-02-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	C.1	C.1
PQ855850.1	Influenza B virus	2022-02-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	C.1	C.1
PQ855851.1	Influenza B virus	2022-02-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	C.1	C.1
PQ855852.1	Influenza B virus	2022-02-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	C.1	C.1
PQ855853.1	Influenza B virus	2022-02-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	C.1	C.1
PQ855854.1	Influenza B virus	2022-02-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	C.1	C.1
PQ855855.1	Influenza B virus	2022-02-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	C.1	C.1
PQ855856.1	Influenza B virus	2022-02-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	C.1	C.1
PQ855857.1	Influenza B virus	2022-02-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	C.1	C.1
PQ855858.1	Influenza B virus	2022-02-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	C.1	C.1
OR439007.1	Influenza B virus	2022-11-16	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi	C.3	C.3
OR439008.1	Influenza B virus	2022-11-03	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi	C.5.3	C.5
OR240927.1	Influenza B virus	2022-01-26	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
OR240928.1	Influenza B virus	2022-01-07	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
OR240929.1	Influenza B virus	2022-01-07	Kenya	Africa			Homo sapiens	1749	Nyarango,B.K., Makori,T.O., Lambisia,A.W., Mwita,J.M., Murunga,N., Mutunga,M., Githinji,G.L., Nokes,J., Agoti,C.N.	ncbi	C.5	C.5
PZ040072.1	Influenza B virus	2022-12-29	Mexico	North America			Homo sapiens	1749	Taboada,B., Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Vazquez,J.	ncbi	C.5.3	C.5
PZ040080.1	Influenza B virus	2022-12-29	Mexico	North America			Homo sapiens	1749	Taboada,B., Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Vazquez,J.	ncbi	C.5.3	C.5
PZ039680.1	Influenza B virus	2022-12-19	Mexico	North America			Homo sapiens	1749	Taboada,B., Alvarado,J., Arias,C., Becerril,E., Diaz,C., Dominguez,H., Espinosa,G., Gomez,B., Gonzalez,R., Grande,R., Herrera,A., Herrera,C., Marquez,M., Martinez,B., Martinez,G., Mejia,F., Mendoza,E., Molina,G., Mujica,M., Munoz,J.E., Nunez,J., Salas,A., Salinas,I., Sanchez,A., Santacruz,C., Santos,A., Uscanga,A., Zarate,A., Zarate,S., Vazquez,J.	ncbi	C.5.3	C.5
PP291800.1	Influenza B virus	2022-12-30	Nicaragua	North America			Homo sapiens	1701	Webby,R., Woodard,K., Thomas,P., Mukherjee,N., Gordon,A.	ncbi	C.5	C.5
PP194717.1	Influenza B virus	2022-12-11	Nicaragua	North America			Homo sapiens	1701	Webby,R., Woodard,K., Thomas,P., Mukherjee,N., Gordon,A.	ncbi	A.3.2	A.3
PP291762.1	Influenza B virus	2022-12-07	Nicaragua	North America			Homo sapiens	1701	Webby,R., Woodard,K., Thomas,P., Mukherjee,N., Gordon,A.	ncbi	A.3.2	A.3
PV225969.1	Influenza B virus	2022-12-01	Nicaragua	North America			Homo sapiens	1701	Woodard,K., Thomas,P., Gordon,A., Webby,R., Mukherjee,N.	ncbi	A.3.2	A.3
PP291823.1	Influenza B virus	2022-11-25	Nicaragua	North America			Homo sapiens	1701	Woodard,K., Thomas,P., Mukherjee,N., Gordon,A., Webby,R.	ncbi	A.3.2	A.3
PV225979.1	Influenza B virus	2022-11-23	Nicaragua	North America			Homo sapiens	1701	Woodard,K., Thomas,P., Gordon,A., Webby,R., Mukherjee,N.	ncbi	A.3.2	A.3
PP194529.1	Influenza B virus	2022-11-22	Nicaragua	North America			Homo sapiens	1701	Woodard,K., Thomas,P., Mukherjee,N., Gordon,A., Webby,R.	ncbi	A.3.2	A.3
PP194513.1	Influenza B virus	2022-11-18	Nicaragua	North America			Homo sapiens	1701	Woodard,K., Thomas,P., Mukherjee,N., Gordon,A., Webby,R.	ncbi	A.3.2	A.3
PP194481.1	Influenza B virus	2022-11-14	Nicaragua	North America			Homo sapiens	1701	Woodard,K., Thomas,P., Mukherjee,N., Gordon,A., Webby,R.	ncbi	A.3.2	A.3
PP291816.1	Influenza B virus	2022-11-11	Nicaragua	North America			Homo sapiens	1701	Webby,R., Woodard,K., Thomas,P., Mukherjee,N., Gordon,A.	ncbi	A.3.2	A.3
PP194451.1	Influenza B virus	2022-11-11	Nicaragua	North America			Homo sapiens	1701	Woodard,K., Thomas,P., Mukherjee,N., Gordon,A., Webby,R.	ncbi	A.3.2	A.3
PP194473.1	Influenza B virus	2022-11-11	Nicaragua	North America			Homo sapiens	1701	Woodard,K., Thomas,P., Mukherjee,N., Gordon,A., Webby,R.	ncbi	C.5	C.5
PQ895804.1	Influenza B virus	2022-12-22	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	A.3.1	A.3
PQ895805.1	Influenza B virus	2022-12-22	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	A	A
PQ895806.1	Influenza B virus	2022-12-25	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	A.3	A.3
PQ895807.1	Influenza B virus	2022-12-27	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	A.3	A.3
PQ895808.1	Influenza B virus	2022-12-27	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	A.3	A.3
PQ895809.1	Influenza B virus	2022-12-28	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	A.3	A.3
PQ895810.1	Influenza B virus	2022-12-27	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	A	A
PQ895811.1	Influenza B virus	2022-12-29	Saudi Arabia	Asia			Homo sapiens	1749	Aziz,I.M., Alkubaisi,N.A., Almajhdi,F.N.	ncbi	C.5	C.5
PX834163.1	Influenza B virus	2022-09-19	South Africa	Africa			Homo sapiens	1749	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi	C.4	C.4
PQ126517.1	Influenza B virus	2022-12-19	Thailand	Asia			Homo sapiens	1672	Boonnak,K., Kosoltanapiwat,N., Mansanguan,C., Kamolvathin,N., Nasalingkhan,C.	ncbi	C.5	C.5
OR085855.1	Influenza B virus	2022-12-20	United Kingdom	Europe			Homo sapiens	1749	Williams,T.G.S., Alder,C., Snell,L.B., Nebbia,G.	ncbi	C.5	C.5
OR085863.1	Influenza B virus	2022-12-17	United Kingdom	Europe			Homo sapiens	1749	Williams,T.G.S., Alder,C., Snell,L.B., Nebbia,G.	ncbi	C.3	C.3
OR085871.1	Influenza B virus	2022-12-08	United Kingdom	Europe			Homo sapiens	1749	Williams,T.G.S., Alder,C., Snell,L.B., Nebbia,G.	ncbi	C.3	C.3
OR085879.1	Influenza B virus	2022-12-16	United Kingdom	Europe			Homo sapiens	1749	Williams,T.G.S., Alder,C., Snell,L.B., Nebbia,G.	ncbi	C.5.1	C.5
OR085887.1	Influenza B virus	2022-12-08	United Kingdom	Europe			Homo sapiens	1749	Williams,T.G.S., Alder,C., Snell,L.B., Nebbia,G.	ncbi	C.3	C.3
OR085895.1	Influenza B virus	2022-12-14	United Kingdom	Europe			Homo sapiens	1749	Williams,T.G.S., Alder,C., Snell,L.B., Nebbia,G.	ncbi	C.3	C.3
OR085903.1	Influenza B virus	2022-12-14	United Kingdom	Europe			Homo sapiens	1749	Williams,T.G.S., Alder,C., Snell,L.B., Nebbia,G.	ncbi	C.5	C.5
PX834026.1	Influenza B virus	2023-03-21	Bulgaria	Europe			Homo sapiens	1749	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi	C.3	C.3
PZ255049.1	Influenza B virus	2023-12-20	Cameroon	Africa			Homo sapiens	1696	Modiyinji,A.F., Cappy,P., Njouom,R.	ncbi	C.2	C.2
PV653468.1	Influenza B virus	2023-12-24	China	Asia			Homo sapiens	1943	Ashraf,M.A., Yue,L., Raza,M.A., Shen,B., Xu,H., Amjad,M.N., Din,Gu., Chen,L., Hu,R., Tian,Y., Bhutto,A.A., Dai,A., Yan,H., Hu,Y.	ncbi	C.5.7	C.5
PV653472.1	Influenza B virus	2023-12-03	China	Asia			Homo sapiens	1903	Ashraf,M.A., Yue,L., Raza,M.A., Shen,B., Xu,H., Amjad,M.N., Din,Gu., Chen,L., Hu,R., Tian,Y., Bhutto,A.A., Dai,A., Yan,H., Hu,Y.	ncbi	C.5.7	C.5
PP594173.1	Influenza B virus	2023-12-30	China	Asia			Homo sapiens	1851	Lv,Tg., Chen,J., Xu,C.	ncbi	C.5.7	C.5
PP594174.1	Influenza B virus	2023-12-28	China	Asia			Homo sapiens	1851	Lv,Tg., Chen,J., Xu,C.	ncbi	C.5.7	C.5
PP594172.1	Influenza B virus	2023-12-24	China	Asia			Homo sapiens	1851	Lv,Tg., Chen,J., Xu,C.	ncbi	C.5.7	C.5
PP594169.1	Influenza B virus	2023-12-21	China	Asia			Homo sapiens	1851	Lv,Tg., Chen,J., Xu,C.	ncbi	C.5.7	C.5
PV653470.1	Influenza B virus	2023-12-28	China	Asia			Homo sapiens	1822	Ashraf,M.A., Yue,L., Raza,M.A., Shen,B., Xu,H., Amjad,M.N., Din,Gu., Chen,L., Hu,R., Tian,Y., Bhutto,A.A., Dai,A., Yan,H., Hu,Y.	ncbi	C.5.7	C.5
PV653469.1	Influenza B virus	2023-12-25	China	Asia			Homo sapiens	1822	Ashraf,M.A., Yue,L., Raza,M.A., Shen,B., Xu,H., Amjad,M.N., Din,Gu., Chen,L., Hu,R., Tian,Y., Bhutto,A.A., Dai,A., Yan,H., Hu,Y.	ncbi	C.5.7	C.5
PV653473.1	Influenza B virus	2023-12-15	China	Asia			Homo sapiens	1822	Ashraf,M.A., Yue,L., Raza,M.A., Shen,B., Xu,H., Amjad,M.N., Din,Gu., Chen,L., Hu,R., Tian,Y., Bhutto,A.A., Dai,A., Yan,H., Hu,Y.	ncbi	C.5.7	C.5
PV653471.1	Influenza B virus	2023-11-28	China	Asia			Homo sapiens	1822	Ashraf,M.A., Yue,L., Raza,M.A., Shen,B., Xu,H., Amjad,M.N., Din,Gu., Chen,L., Hu,R., Tian,Y., Bhutto,A.A., Dai,A., Yan,H., Hu,Y.	ncbi	C.5.7	C.5
PQ855888.1	Influenza B virus	2023-03-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	A.3.1.1	A.3
PQ855847.1	Influenza B virus	2023-03-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	C.1	C.1
PQ855890.1	Influenza B virus	2023-03-01	China	Asia			Homo sapiens	1758	Din,G.U.D., Amjad,M.N., Raza,M.A., Ashraf,M.A., Shen,B., Yue,L., Bhutto,A.A., Chen,L., Ruobing,Z., Hu,Y.	ncbi	A.3.1.1	A.3
OR166810.1	Influenza B virus	2023-03-07	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi	C.5.1	C.5
OR166811.1	Influenza B virus	2023-03-13	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi	C.5.1	C.5
OR166812.1	Influenza B virus	2023-03-20	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi	C.5.4	C.5
OR166813.1	Influenza B virus	2023-04-06	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi	C.5.1	C.5
OR166832.1	Influenza B virus	2023-03-09	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi	C.5.1	C.5
OR166840.1	Influenza B virus	2023-03-15	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi	C.3	C.3
OR166848.1	Influenza B virus	2023-03-17	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D.	ncbi	C.5	C.5
OQ821714.1	Influenza B virus	2023-01-30	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.	ncbi	C.3	C.3
OQ821722.1	Influenza B virus	2023-02-15	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.	ncbi	C.5.5	C.5
OQ821754.1	Influenza B virus	2023-01-29	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.	ncbi	C.3	C.3
OQ507108.1	Influenza B virus	2023-01-09	Germany	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Selent,M.U.	ncbi	C.3	C.3
PP535414.1	Influenza B virus	2023-12-29	Hong Kong	Asia			Homo sapiens	1847	Cowling,B.J., Leung,N.H.L., Cheng,S.M.S., Peiris,M.	ncbi	C.5.6	C.5
PP535406.1	Influenza B virus	2023-10-04	Hong Kong	Asia			Homo sapiens	1847	Cowling,B.J., Leung,N.H.L., Cheng,S.M.S., Peiris,M.	ncbi	C.5.7	C.5
OQ821730.1	Influenza B virus	2023-02-17	Italy	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.	ncbi	C.3	C.3
OQ821738.1	Influenza B virus	2023-02-21	Italy	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.	ncbi	C.5	C.5
OQ821746.1	Influenza B virus	2023-02-27	Italy	Europe			Homo sapiens	1749	Gruner,W.E., Muehleman,D.M., Garrett,C.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Sjoberg,P.A., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.	ncbi	C.3	C.3
PV235204.1	Influenza B virus	2023-01-06	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5.2	C.5
PV234464.1	Influenza B virus	2023-10-06	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.3	C.3
PV234452.1	Influenza B virus	2023-10-14	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5.1	C.5
PV234315.1	Influenza B virus	2023-07-01	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5.3	C.5
PV234487.1	Influenza B virus	2023-10-11	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5	C.5
PV235069.1	Influenza B virus	2023-10-11	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5	C.5
PV234480.1	Influenza B virus	2023-10-10	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5	C.5
PV234472.1	Influenza B virus	2023-10-09	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5.1	C.5
PV234416.1	Influenza B virus	2023-10-03	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5.1	C.5
PV235103.1	Influenza B virus	2023-09-22	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5	C.5
PV235095.1	Influenza B virus	2023-09-21	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5	C.5
PV235087.1	Influenza B virus	2023-09-20	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5	C.5
PV235082.1	Influenza B virus	2023-09-16	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5	C.5
PV235077.1	Influenza B virus	2023-09-14	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5	C.5
PV234428.1	Influenza B virus	2023-09-11	Nicaragua	North America			Homo sapiens	1847	Woodard,K., Thomas,P., Gordon,A., Mukherjee,N., Webby,R.	ncbi	C.5	C.5
PX834011.1	Influenza B virus	2023-03-31	Poland	Europe			Homo sapiens	1749	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi	C.5	C.5
